time,x,y,z
10,0.011169999837875366,0.010869000107049942,0.016867000609636307
14,0.0008750000270083547,0.02221200056374073,0.012539000250399113
15,1.9999999949504854e-06,0.015881000086665154,0.022539999336004257
16,-9.100000170292333e-05,0.015414999797940254,0.023276999592781067
17,-0.0024170000106096268,0.015135999768972397,-0.0035210000351071358
18,-0.01209999993443489,0.0283649992197752,0.010719000361859798
19,-0.000155999994603917,0.029255999252200127,0.022926999256014824
20,-0.0031349998898804188,0.02759600058197975,-0.0016799999866634607
21,0.00989300012588501,0.04166499897837639,0.011226000264286995
22,0.013616000302135944,0.015496999956667423,0.023145999759435654
