Unnamed: 0,time,seconds_elapsed,z,y,x,str_time,difference
0,1711523595018936600,0.1339365234375,9.615071296691896,1.830212950706482,-0.6091870069503784,2024-03-27 07:13:15.018936600,2.4393999576568604
1,1711523595028582400,0.14358251953125,9.606206893920898,1.866845965385437,-0.6372219920158386,2024-03-27 07:13:15.028582400,2.5040679574012756
2,1711523595038228200,0.153228271484375,9.592246055603027,1.9050309658050537,-0.728056013584137,2024-03-27 07:13:15.038228200,2.6330869793891907
3,1711523595047874000,0.1628740234375,9.582722663879396,1.9323350191116333,-0.779679000377655,2024-03-27 07:13:15.047874000,2.7120140194892883
4,1711523595057519900,0.172519775390625,9.581151962280272,1.9279710054397583,-0.8092250227928162,2024-03-27 07:13:15.057519900,2.7371960282325745
5,1711523595067165400,0.18216552734375,9.576851844787598,1.9381749629974363,-0.8353260159492493,2024-03-27 07:13:15.067165400,2.773500978946686
6,1711523595076811300,0.191811279296875,9.577442169189451,1.94718599319458,-0.8071320056915283,2024-03-27 07:13:15.076811300,2.7543179988861084
7,1711523595086457000,0.20145703125,9.578506469726562,1.941409945487976,-0.8084059953689575,2024-03-27 07:13:15.086457000,2.7498159408569336
8,1711523595096103000,0.21110302734375,9.579789161682127,1.935075044631958,-0.8083969950675964,2024-03-27 07:13:15.096103000,2.7434720396995544
9,1711523595105748700,0.220748779296875,9.581059455871582,1.929075002670288,-0.8076789975166321,2024-03-27 07:13:15.105748700,2.73675400018692
10,1711523595115394600,0.23039453125,9.582140922546388,1.9239569902420044,-0.8070700168609619,2024-03-27 07:13:15.115394600,2.7310270071029663
11,1711523595125040000,0.2400400390625,9.582948684692385,1.9199440479278564,-0.8070210218429565,2024-03-27 07:13:15.125040000,2.726965069770813
12,1711523595134686200,0.249686279296875,9.58349895477295,1.9169180393219,-0.8076850175857544,2024-03-27 07:13:15.134686200,2.7246030569076547
13,1711523595144332000,0.25933203125,9.583945274353027,1.9143259525299072,-0.8085409998893738,2024-03-27 07:13:15.144332000,2.722866952419281
14,1711523595153977900,0.268977783203125,9.584604263305664,1.911031007766724,-0.8085169792175293,2024-03-27 07:13:15.153977900,2.7195479869842534
15,1711523595163623400,0.27862353515625,9.585623741149902,1.906515955924988,-0.8070909976959229,2024-03-27 07:13:15.163623400,2.7136069536209106
16,1711523595173269500,0.28826953125,9.586821556091309,1.9011919498443604,-0.805420994758606,2024-03-27 07:13:15.173269500,2.7066129446029663
17,1711523595182915300,0.297915283203125,9.590096473693848,1.889716982841492,-0.7933610081672668,2024-03-27 07:13:15.182915300,2.6830779910087585
18,1711523595192561200,0.30756103515625,9.620485305786133,1.791084051132202,-0.6392589807510376,2024-03-27 07:13:15.192561200,2.4303430318832397
19,1711523595202206700,0.317206787109375,9.619961738586426,1.7910449504852295,-0.6472030282020569,2024-03-27 07:13:15.202206700,2.4382479786872864
20,1711523595211852500,0.3268525390625,9.619902610778809,1.7904369831085205,-0.6497669816017151,2024-03-27 07:13:15.211852500,2.4402039647102356
21,1711523595221498400,0.336498291015625,9.618751525878906,1.7946200370788574,-0.6552479863166809,2024-03-27 07:13:15.221498400,2.4498680233955383
22,1711523595231144200,0.346144287109375,9.618789672851562,1.7944129705429075,-0.6552469730377197,2024-03-27 07:13:15.231144200,2.4496599435806274
23,1711523595240790000,0.3557900390625,9.619477272033691,1.7942229509353638,-0.645609974861145,2024-03-27 07:13:15.240790000,2.439832925796509
24,1711523595250435600,0.365435546875,9.620443344116213,1.79053795337677,-0.6414179801940918,2024-03-27 07:13:15.250435600,2.431955933570862
25,1711523595260081400,0.375081298828125,9.621767044067385,1.785249948501587,-0.6362900137901306,2024-03-27 07:13:15.260081400,2.4215399622917175
26,1711523595269727200,0.384727294921875,9.622562408447266,1.7813400030136108,-0.635237991809845,2024-03-27 07:13:15.269727200,2.416577994823456
27,1711523595279373000,0.394373046875,9.62289047241211,1.7785199880599976,-0.6381589770317078,2024-03-27 07:13:15.279373000,2.4166789650917053
28,1711523595289019000,0.404018798828125,9.62311553955078,1.7774349451065063,-0.6377699971199036,2024-03-27 07:13:15.289019000,2.41520494222641
29,1711523595298664700,0.413664794921875,9.622113227844238,1.7816580533981323,-0.6410999894142151,2024-03-27 07:13:15.298664700,2.4227580428123474
30,1711523595308310500,0.423310546875,9.62184238433838,1.783383011817932,-0.6403719782829285,2024-03-27 07:13:15.308310500,2.4237549901008606
31,1711523595317956600,0.43295654296875,9.620735168457031,1.790276050567627,-0.6377720236778259,2024-03-27 07:13:15.317956600,2.428048074245453
32,1711523595327602200,0.442602294921875,9.620293617248535,1.7923729419708252,-0.6385319828987122,2024-03-27 07:13:15.327602200,2.4309049248695374
33,1711523595337248000,0.452248046875,9.619730949401855,1.7960779666900637,-0.6366180181503296,2024-03-27 07:13:15.337248000,2.432695984840393
34,1711523595346893600,0.4618935546875,9.619646072387695,1.7964320182800293,-0.6368849873542786,2024-03-27 07:13:15.346893600,2.433317005634308
35,1711523595356539400,0.471539306640625,9.619144439697266,1.7982699871063232,-0.639274001121521,2024-03-27 07:13:15.356539400,2.4375439882278442
36,1711523595366185200,0.481185302734375,9.619370460510254,1.7972569465637207,-0.6387379765510559,2024-03-27 07:13:15.366185200,2.4359949231147766
37,1711523595375831000,0.4908310546875,9.619460105895996,1.7951029539108276,-0.6434069871902466,2024-03-27 07:13:15.375831000,2.438509941101074
38,1711523595385476900,0.500476806640625,9.61952018737793,1.794173002243042,-0.6451069712638855,2024-03-27 07:13:15.385476900,2.4392799735069275
39,1711523595395122400,0.510122314453125,9.619579315185549,1.7919859886169434,-0.6502779722213745,2024-03-27 07:13:15.395122400,2.442263960838318
40,1711523595404768300,0.519768310546875,9.619524955749512,1.7918800115585327,-0.6513749957084656,2024-03-27 07:13:15.404768300,2.4432550072669983
41,1711523595414414000,0.5294140625,9.619322776794434,1.7915990352630615,-0.6551219820976257,2024-03-27 07:13:15.414414000,2.4467210173606873
42,1711523595424060200,0.53906005859375,9.619452476501465,1.7919009923934937,-0.6523810029029846,2024-03-27 07:13:15.424060200,2.4442819952964783
43,1711523595433706000,0.5487060546875,9.61938762664795,1.7925570011138916,-0.6515300273895264,2024-03-27 07:13:15.433706000,2.444087028503418
44,1711523595443351800,0.558351806640625,9.619543075561523,1.7930669784545898,-0.647832989692688,2024-03-27 07:13:15.443351800,2.440899968147278
45,1711523595452997400,0.567997314453125,9.619763374328612,1.793002009391785,-0.6447240114212036,2024-03-27 07:13:15.452997400,2.4377260208129883
46,1711523595462643200,0.577643310546875,9.619773864746094,1.7927939891815186,-0.6451510190963745,2024-03-27 07:13:15.462643200,2.437945008277893
47,1711523595472289300,0.587289306640625,9.619747161865234,1.7904009819030762,-0.6521430015563965,2024-03-27 07:13:15.472289300,2.4425439834594727
48,1711523595481934800,0.596934814453125,9.619599342346191,1.789553999900818,-0.6566429734230042,2024-03-27 07:13:15.481934800,2.446196973323822
49,1711523595491580700,0.60658056640625,9.619524955749512,1.7872459888458252,-0.6639890074729919,2024-03-27 07:13:15.491580700,2.451234996318817
50,1711523595501226500,0.6162265625,9.61980438232422,1.785184025764465,-0.6654809713363647,2024-03-27 07:13:15.501226500,2.45066499710083
51,1711523595510872000,0.6258720703125,9.62064266204834,1.7817449569702148,-0.6625769734382629,2024-03-27 07:13:15.510872000,2.444321930408478
52,1711523595520518100,0.63551806640625,9.62159538269043,1.777485966682434,-0.6601759791374207,2024-03-27 07:13:15.520518100,2.4376619458198547
53,1711523595530163700,0.645163818359375,9.622881889343262,1.7726160287857056,-0.6544950008392334,2024-03-27 07:13:15.530163700,2.427111029624939
54,1711523595539809500,0.6548095703125,9.623991012573242,1.767109990119934,-0.6530749797821045,2024-03-27 07:13:15.539809500,2.4201849699020386
55,1711523595549455400,0.664455322265625,9.624908447265623,1.7635060548782349,-0.6492800116539001,2024-03-27 07:13:15.549455400,2.412786066532135
56,1711523595559101200,0.67410107421875,9.62565803527832,1.7595770359039309,-0.6488190293312073,2024-03-27 07:13:15.559101200,2.408396065235138
57,1711523595568746800,0.683746826171875,9.626242637634276,1.7594239711761477,-0.6405180096626282,2024-03-27 07:13:15.568746800,2.3999419808387756
58,1711523595578392600,0.693392578125,9.62632179260254,1.758594989776611,-0.6416000127792358,2024-03-27 07:13:15.578392600,2.400195002555847
59,1711523595588038400,0.703038330078125,9.62696647644043,1.7595789432525637,-0.6291189789772034,2024-03-27 07:13:15.588038400,2.388697922229767
60,1711523595597684200,0.712684326171875,9.626629829406738,1.7606929540634155,-0.6311569809913635,2024-03-27 07:13:15.597684200,2.391849935054779
61,1711523595607330000,0.722330078125,9.625927925109863,1.7680280208587646,-0.6212720274925232,2024-03-27 07:13:15.607330000,2.389300048351288
62,1711523595616975600,0.7319755859375,9.625373840332031,1.7717230319976809,-0.6193180084228516,2024-03-27 07:13:15.616975600,2.3910410404205322
63,1711523595626621400,0.741621337890625,9.623570442199709,1.7838510274887085,-0.6125029921531677,2024-03-27 07:13:15.626621400,2.396354019641876
64,1711523595636267300,0.751267333984375,9.622751235961914,1.7890779972076416,-0.6101279854774475,2024-03-27 07:13:15.636267300,2.399205982685089
65,1711523595645913000,0.7609130859375,9.61981964111328,1.8053369522094729,-0.6084510087966919,2024-03-27 07:13:15.645913000,2.4137879610061646
66,1711523595655559200,0.77055908203125,9.619160652160645,1.80901300907135,-0.6079540252685547,2024-03-27 07:13:15.655559200,2.416967034339905
67,1711523595665204700,0.780204833984375,9.616850852966309,1.8225380182266235,-0.6040840148925781,2024-03-27 07:13:15.665204700,2.4266220331192017
68,1711523595674850600,0.7898505859375,9.616806030273438,1.822532057762146,-0.6048219799995422,2024-03-27 07:13:15.674850600,2.4273540377616882
69,1711523595684496400,0.799496337890625,9.616532325744627,1.825456976890564,-0.6003320217132568,2024-03-27 07:13:15.684496400,2.425788998603821
70,1711523595694142200,0.80914208984375,9.617152214050291,1.822114944458008,-0.6005579829216003,2024-03-27 07:13:15.694142200,2.422672927379608
71,1711523595703787800,0.818787841796875,9.618341445922852,1.8166539669036863,-0.5980349779129028,2024-03-27 07:13:15.703787800,2.4146889448165894
72,1711523595713433600,0.82843359375,9.618855476379396,1.813873052597046,-0.5982459783554077,2024-03-27 07:13:15.713433600,2.4121190309524536
73,1711523595723079700,0.83807958984375,9.619711875915527,1.8084269762039185,-0.6009340286254883,2024-03-27 07:13:15.723079700,2.4093610048294067
74,1711523595732725200,0.847725341796875,9.619550704956056,1.8085999488830569,-0.6029880046844482,2024-03-27 07:13:15.732725200,2.411587953567505
75,1711523595742371300,0.857371337890625,9.619619369506836,1.8069020509719849,-0.60698002576828,2024-03-27 07:13:15.742371300,2.413882076740265
76,1711523595752017000,0.867016845703125,9.619168281555176,1.8084360361099243,-0.6095499992370605,2024-03-27 07:13:15.752017000,2.417986035346985
77,1711523595761662700,0.876662841796875,9.618295669555664,1.8111170530319207,-0.615323007106781,2024-03-27 07:13:15.761662700,2.4264400601387015
78,1711523595771308500,0.88630859375,9.618358612060549,1.810351014137268,-0.6165919899940491,2024-03-27 07:13:15.771308500,2.426943004131317
79,1711523595780954000,0.8959541015625,9.618114471435549,1.809993028640747,-0.6214410066604614,2024-03-27 07:13:15.780954000,2.4314340353012085
80,1711523595790600000,0.905599853515625,9.618942260742188,1.80513596534729,-0.6227390170097351,2024-03-27 07:13:15.790600000,2.427874982357025
