time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1711795430105320700,0.16932080078125,-0.41592898964881897,-0.022088000550866127,0.08270999789237976,0.9053580164909363,0.0292280912399292,-0.16894087195396423,0.8637746572494507
1711795430114969900,0.178969970703125,-0.4040830135345459,-0.025678999722003937,0.08146700263023376,0.9107249975204468,0.019345778971910477,-0.16995801031589508,0.8368421196937561
1711795430124619300,0.188619384765625,-0.39987099170684814,-0.026128999888896942,0.0801210030913353,0.9126880168914795,0.016615383327007294,-0.16793568432331085,0.8272661566734314
1711795430134268200,0.19826806640625,-0.39394500851631165,-0.025575000792741776,0.08429799973964691,0.9149019718170166,0.019926993176341057,-0.17529548704624176,0.8149369359016418
1711795430143917600,0.20791748046875,-0.39504900574684143,-0.019686000421643257,0.09002099931240082,0.9140260219573975,0.03573021665215492,-0.1811053454875946,0.8191630244255066
1711795430153566500,0.21756640625,-0.3934600055217743,-0.017023000866174698,0.09464800357818604,0.9142979979515076,0.04414048045873642,-0.1875665783882141,0.816923975944519
1711795430163216000,0.2272158203125,-0.39724498987197876,-0.014690999872982502,0.09646999835968018,0.912509024143219,0.05075695365667343,-0.18885190784931183,0.8259867429733276
1711795430172865000,0.236864990234375,-0.39719998836517334,-0.0148290004581213,0.09648100286722183,0.9125249981880188,0.050501082092523575,-0.18898576498031616,0.8258699178695679
1711795430182514200,0.24651416015625,-0.39742401242256165,-0.014905000105500221,0.09639699757099152,0.912434995174408,0.05033740773797035,-0.18888027966022491,0.8263365626335144
1711795430192163600,0.25616357421875,-0.39760199189186096,-0.01488099992275238,0.09622599929571152,0.9123759865760803,0.050276897847652435,-0.18853698670864105,0.8266974687576294
1711795430201812700,0.265812744140625,-0.3977360129356384,-0.01481700036674738,0.09595800191164017,0.9123470187187195,0.05020052567124367,-0.18798573315143585,0.8269466161727905
1711795430211462000,0.2754619140625,-0.3978649973869324,-0.014857999980449677,0.09557600319385529,0.9123299717903137,0.049833815544843674,-0.18731002509593964,0.8271459937095642
1711795430221111000,0.285111083984375,-0.39805299043655396,-0.015038000419735909,0.09517800062894821,0.9122869968414307,0.0492086187005043,-0.18671414256095886,0.8274537324905396
1711795430230760200,0.29476025390625,-0.39830198884010315,-0.015296000055968761,0.09487300366163254,0.9122059941291809,0.04852889105677605,-0.18634895980358124,0.8279051184654236
1711795430240409600,0.30440966796875,-0.3985750079154968,-0.015536000020802021,0.09473299980163574,0.9120969772338867,0.04802462458610535,-0.18627119064331055,0.828446090221405
1711795430250058800,0.314058837890625,-0.39881598949432373,-0.0156870000064373,0.09477099776268005,0.9119849801063538,0.04782658442854881,-0.1864503175020218,0.8289655447006226
1711795430259708000,0.3237080078125,-0.39901599287986755,-0.01573600061237812,0.09491900354623795,0.9118819832801819,0.04790051281452179,-0.1867513209581375,0.8294318318367004
1711795430269357000,0.333357177734375,-0.3992120027542114,-0.015588999725878239,0.09499400109052658,0.9117900133132935,0.04827558249235153,-0.1867595613002777,0.8299009203910828
1711795430279006500,0.34300634765625,-0.39484500885009766,-0.01278700027614832,0.0940530002117157,0.9138309955596924,0.05179008096456528,-0.18301482498645782,0.8204514980316162
1711795430288655400,0.3526552734375,-0.3950450122356415,-0.012462999671697617,0.093640998005867,0.9137910008430481,0.05209105461835861,-0.18198637664318085,0.8208523392677307
1711795430298304500,0.362304443359375,-0.39524200558662415,-0.012275000102818012,0.09316399693489075,0.9137570261955261,0.05208544805645943,-0.18094751238822937,0.8212147951126099
1711795430307953700,0.37195361328125,-0.3955090045928955,-0.01185499969869852,0.09221699833869934,0.9137430191040039,0.05213535949587822,-0.178854838013649,0.8216676115989685
1711795430317602800,0.381602783203125,-0.39569199085235596,-0.011897999793291092,0.09169899672269821,0.9137160181999207,0.05166459456086159,-0.17792688310146332,0.8219608664512634
1711795430327252200,0.391252197265625,-0.39587900042533875,-0.010947000235319138,0.09113200008869171,0.9137030243873596,0.05299398675560951,-0.17611148953437805,0.822385311126709
1711795430336901400,0.4009013671875,-0.39588800072669983,-0.010737000033259392,0.0909620001912117,0.9137189984321594,0.05324416980147362,-0.17563024163246155,0.8223989605903625
1711795430346550500,0.410550537109375,-0.39567700028419495,-0.011587999761104584,0.09104099869728088,0.9137920141220093,0.05169309675693512,-0.17646977305412292,0.8218368291854858
1711795430356200000,0.420199951171875,-0.3955189883708954,-0.011420000344514847,0.09099899977445602,0.9138669967651367,0.05193871259689331,-0.17626696825027466,0.8215025067329407
1711795430365848800,0.429848876953125,-0.3953379988670349,-0.012008000165224075,0.09106200188398361,0.9139310121536255,0.05086666718125343,-0.17686384916305542,0.821037769317627
1711795430375498000,0.439498046875,-0.3952620029449463,-0.011872000060975552,0.09072600305080414,0.9139990210533142,0.05082707852125168,-0.17614145576953888,0.8208214044570923
1711795430385147400,0.4491474609375,-0.3952000141143799,-0.01246699970215559,0.08978600054979324,0.9141110181808472,0.04894022271037102,-0.17489288747310638,0.8204206824302673
1711795430394796500,0.458796630859375,-0.39520999789237976,-0.012450000271201134,0.08937499672174454,0.9141470193862915,0.04863583296537399,-0.17412303388118744,0.8203645944595337
1711795430404445700,0.46844580078125,-0.3951990008354187,-0.012335999868810177,0.08883699774742126,0.9142060279846191,0.04840279370546341,-0.17304331064224243,0.8202509880065918
1711795430414094800,0.4780947265625,-0.39508700370788574,-0.012369000352919102,0.08878699690103531,0.9142590165138245,0.048279255628585815,-0.17298370599746704,0.8199903964996338
