time,seconds_elapsed,z,y,x
1711795435197076200,5.261076171875,-62.04375076293945,0.35625001788139343,-20.100000381469727
1711795435217168000,5.28116796875,-62.04375076293945,0.35625001788139343,-20.15625
1711795435237465600,5.301465576171875,-62.04375076293945,-0.05625000223517418,-19.98750114440918
1711795435257642200,5.321642333984375,-61.98750305175781,-0.05625000223517418,-20.212501525878906
1711795435277716200,5.34171630859375,-62.212501525878906,-0.30000001192092896,-20.212501525878906
1711795435297513500,5.361513427734375,-62.212501525878906,-0.48750001192092896,-20.212501525878906
1711795435317214500,5.38121435546875,-62.212501525878906,-0.5437500476837158,-20.100000381469727
1711795435337344500,5.401344482421875,-61.98750305175781,-1.0125000476837158,-19.98750114440918
1711795435357551900,5.4215517578125,-62.10000228881836,-1.0125000476837158,-19.6875
1711795435377445400,5.4414453125,-62.343753814697266,-0.7875000238418579,-19.6875
1711795435397595100,5.46159521484375,-62.51250076293945,-0.8437500596046448,-19.200000762939453
1711795435417681000,5.481680908203125,-62.75625228881836,-0.6000000238418579,-19.556251525878906
1711795435437435600,5.501435546875,-62.587501525878906,-0.7875000238418579,-19.556251525878906
1711795435457188000,5.52118798828125,-62.75625228881836,-0.6000000238418579,-19.80000114440918
1711795435477299000,5.541298828125,-62.212501525878906,-0.35625001788139343,-20.043750762939453
1711795435497531400,5.561531494140625,-62.343753814697266,-0.1875,-19.98750114440918
1711795435517662000,5.581661865234375,-62.28750228881836,-0.30000001192092896,-20.287500381469727
1711795435537721900,5.601721923828125,-62.212501525878906,0,-20.64375114440918
1711795435557729000,5.62172900390625,-62.45625305175781,-0.30000001192092896,-20.756250381469727
1711795435577400300,5.641400390625,-62.587501525878906,-0.30000001192092896,-20.45625114440918
1711795435597120500,5.66112060546875,-62.51250076293945,-0.48750001192092896,-20.043750762939453
1711795435617492000,5.681491943359375,-62.51250076293945,-0.5437500476837158,-19.80000114440918
1711795435637636600,5.70163671875,-62.45625305175781,-0.30000001192092896,-19.61250114440918
1711795435657700900,5.721700927734375,-62.51250076293945,-0.24375000596046448,-19.743751525878906
1711795435677722400,5.741722412109375,-62.400001525878906,-0.30000001192092896,-20.100000381469727
1711795435697702000,5.761701904296875,-62.400001525878906,-0.65625,-19.743751525878906
1711795435717406200,5.78140625,-62.343753814697266,-0.6000000238418579,-19.61250114440918
1711795435737089000,5.801089111328125,-62.28750228881836,-0.48750001192092896,-19.443750381469727
1711795435757233200,5.821233154296875,-62.70000076293945,-0.11250000447034836,-19.14375114440918
1711795435777484300,5.841484375,-62.587501525878906,-0.11250000447034836,-19.087501525878906
1711795435797634000,5.861634033203125,-62.75625228881836,-0.24375000596046448,-18.95625114440918
1711795435817708300,5.881708251953125,-62.94375228881836,-0.24375000596046448,-18.543750762939453
1711795435837668000,5.901668212890625,-62.70000076293945,-0.35625001788139343,-18.30000114440918
1711795435857348900,5.921348876953125,-63.000003814697266,-0.24375000596046448,-18
1711795435877119200,5.941119140625,-62.88750076293945,-0.48750001192092896,-18.056251525878906
1711795435897456000,5.9614560546875,-62.94375228881836,-0.5437500476837158,-18
1711795435917623600,5.98162353515625,-63.11250305175781,-0.65625,-17.756250381469727
