time,seconds_elapsed,z,y,x
1711795446103675400,16.16767529296875,-0.04647500067949295,0.002062499988824129,-0.22495000064373016
1711795446113324500,16.177324462890624,-0.023375000804662704,0.05829999968409538,-0.21876250207424164
1711795446122973700,16.1869736328125,-0.00013749999925494194,0.13158750534057617,-0.18466250598430634
1711795446132622800,16.196622802734375,0.013337500393390656,0.17682500183582306,-0.12223749607801437
1711795446142272000,16.20627197265625,0.0170499999076128,0.15234999358654022,-0.05142499879002571
1711795446151921200,16.215921142578125,0.018287500366568565,0.06558749824762344,0.02433750033378601
1711795446161570300,16.2255703125,0.0170499999076128,-0.03946249932050705,0.09391249716281891
1711795446171219500,16.235219482421876,0.01209999993443489,-0.1237500011920929,0.1331000030040741
1711795446180868600,16.24486865234375,0.01209999993443489,-0.17256249487400055,0.13186250627040863
1711795446190517800,16.254517822265626,0.0170499999076128,-0.18603749573230743,0.09267500042915344
1711795446200167000,16.2641669921875,0.025575000792741776,-0.1457500010728836,0.023099999874830246
1711795446209816000,16.273816162109377,0.02928750030696392,-0.06875000149011612,-0.06861250102519989
1711795446219465200,16.28346533203125,0.02433750033378601,0.0008249999955296516,-0.1564749926328659
1711795446229114600,16.293114501953124,0.014574999921023846,0.05224999785423279,-0.2176624983549118
1711795446238763500,16.302763427734376,0.002337499987334013,0.07782500237226486,-0.23842500150203705
1711795446248412700,16.31241259765625,-0.00494999997317791,0.05953750014305115,-0.21147499978542328
1711795446258061800,16.322061767578123,-0.008662499487400055,0.014299999922513962,-0.15771250426769257
1711795446267711000,16.3317109375,-0.011137500405311584,-0.03451250120997429,-0.0966624990105629
1711795446277360000,16.341360107421874,-0.012374999932944775,-0.05898749828338623,-0.040424998849630356
1711795446287009000,16.351009033203123,-0.006187499966472387,-0.057750001549720764,-0.006187499966472387
1711795446296658400,16.360658447265624,0.004812499973922968,-0.013749999925494194,0.0010999999940395355
1711795446306307600,16.3703076171875,0.02186249941587448,0.06929999589920044,-0.012374999932944775
1711795446315956700,16.379956787109375,0.045099999755620956,0.14877499639987946,-0.03918749839067459
1711795446325605600,16.389605712890624,0.07081250101327896,0.1915374994277954,-0.06971249729394913
1711795446335255000,16.399255126953125,0.09886249899864197,0.19634999334812164,-0.07713750004768372
1711795446344904200,16.408904296875,0.12086249887943268,0.16458749771118164,-0.06366249918937683
1711795446354553300,16.41855322265625,0.1391499936580658,0.08635000139474869,-0.040424998849630356
1711795446364202200,16.4282021484375,0.15138749778270721,-0.002749999985098839,-0.01484999991953373
1711795446373851600,16.4378515625,0.15991249680519104,-0.04427500069141388,-0.0038499999791383743
1711795446383500800,16.447500732421876,0.1611499935388565,-0.040699999779462814,-0.013612499460577965
1711795446393150000,16.45714990234375,0.1611499935388565,-0.005224999971687794,-0.040424998849630356
1711795446402799000,16.466799072265626,0.1611499935388565,0.0705375000834465,-0.07218749821186066
1711795446412448300,16.4764482421875,0.15991249680519104,0.1303499937057495,-0.09913749992847443
1711795446422097400,16.486097412109373,0.170912504196167,0.15111249685287476,-0.11618749797344208
1711795446431746600,16.49574658203125,0.18562500178813934,0.13529999554157257,-0.11866249889135361
1711795446441395700,16.505395751953124,0.1929125040769577,0.08030000329017639,-0.10518749803304672
1711795446451044900,16.515044921875,0.19415000081062317,-0.002749999985098839,-0.08318749815225601
1711795446460694000,16.524694091796874,0.19043749570846558,-0.08470000326633453,-0.055137500166893005
1711795446470343200,16.53434326171875,0.1868624985218048,-0.12251249700784683,-0.018424998968839645
1711795446479992300,16.543992431640625,0.18191249668598175,-0.10779999941587448,0.02186249941587448
1711795446489641700,16.553641845703126,0.17710000276565552,-0.082225002348423,0.05609999969601631
1711795446499290600,16.56329052734375,0.170912504196167,-0.047987498342990875,0.08043749630451202
1711795446508939800,16.572939697265625,0.1574375033378601,-0.018699999898672104,0.09638749808073044
1711795446518589000,16.5825888671875,0.14409999549388885,-0.008937500417232513,0.10009999573230743
1711795446528238000,16.592238037109375,0.13433749973773956,-0.03698749840259552,0.08662500232458115
1711795446537887200,16.60188720703125,0.12815000116825104,-0.07122500240802765,0.062150001525878906
1711795446547536400,16.611536376953126,0.12691250443458557,-0.06627500057220459,0.040150001645088196
1711795446557185500,16.621185546875,0.12086249887943268,-0.03203750029206276,0.030387500301003456
1711795446566834700,16.630834716796876,0.11357499659061432,-0.014987500384449959,0.02433750033378601
1711795446576483800,16.64048388671875,0.11481250077486038,-0.014987500384449959,0.0193875003606081
1711795446586133000,16.650133056640627,0.11715000122785568,-0.023512499406933784,0.01209999993443489
1711795446595782100,16.6597822265625,0.10491249710321426,-0.011274999938905239,0.007149999961256981
1711795446605431300,16.669431396484374,0.08786249905824661,0.018012499436736107,0.014574999921023846
1711795446615080400,16.67908056640625,0.07809999585151672,0.04124999791383743,0.03162499889731407
1711795446624729600,16.6887294921875,0.07933750003576279,0.03258749842643738,0.047575000673532486
1711795446634378800,16.698378662109373,0.09157499670982361,0.01924999989569187,0.057337500154972076
1711795446644028000,16.70802783203125,0.10009999573230743,0.008249999955296516,0.06833750009536743
1711795446653677000,16.717677001953124,0.11233749985694885,0.002062499988824129,0.07562500238418579
1711795446663326200,16.727326171875,0.11591249704360962,0.021587500348687172,0.07067500054836273
1711795446672975600,16.7369755859375,0.10491249710321426,0.04853750020265579,0.06462500244379044
1711795446682624500,16.74662451171875,0.08291249722242355,0.0668250024318695,0.06710000336170197
1711795446692273700,16.756273681640625,0.059812501072883606,0.04001250118017197,0.08291249722242355
1711795446701923000,16.765923095703126,0.03904999792575836,-0.023512499406933784,0.1073874980211258
1711795446711572200,16.775572265625,0.0193875003606081,-0.0882750004529953,0.13420000672340393
1711795446721221000,16.78522119140625,0.007287499960511923,-0.1335124969482422,0.1451999992132187
1711795446730870300,16.794870361328126,0.0035749999806284904,-0.14079999923706055,0.13186250627040863
1711795446740519700,16.804519775390624,0.004812499973922968,-0.10051249712705612,0.0976250022649765
1711795446750168800,16.8141689453125,-0.002474999986588955,-0.01746249943971634,0.062150001525878906
