time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1711523595018936600,0.1339365234375,0.05573900043964386,0.03641600161790848,0.0918779969215393,0.9935410022735596,0.06327233463525772,-0.18772943317890167,-0.10612650215625763
1711523595028582400,0.14358251953125,0.04919999837875366,0.03734799847006798,0.09393999725580215,0.9936590194702148,0.0662374347448349,-0.19153259694576263,-0.09258188307285309
1711523595038228200,0.153228271484375,0.03936300054192543,0.04116100072860718,0.096110999584198,0.9937390089035034,0.0757543072104454,-0.1955019235610962,-0.07174821197986603
1711523595047874000,0.1628740234375,0.03009900078177452,0.04296199977397919,0.09783300012350082,0.993818998336792,0.08118253946304321,-0.19834068417549133,-0.052472036331892014
1711523595057519900,0.172519775390625,0.024481000378727913,0.04391999915242195,0.09781699627637863,0.9939330220222473,0.08425986766815186,-0.19788648188114166,-0.04088170453906059
1711523595067165400,0.18216552734375,0.01992199942469597,0.04482400044798851,0.09852500259876251,0.9939240217208862,0.08700133860111237,-0.19894850254058838,-0.031393636018037796
1711523595076811300,0.191811279296875,0.017539000138640404,0.043150000274181366,0.09911800175905228,0.9939839839935303,0.08407499641180038,-0.19988542795181274,-0.02685086615383625
1711523595086457000,0.20145703125,0.017687000334262848,0.043223001062870026,0.09881100058555603,0.9940090179443359,0.08419660478830338,-0.1992834508419037,-0.027161089703440666
1711523595096103000,0.21110302734375,0.017789000645279884,0.04322599992156029,0.0984790027141571,0.9940400123596191,0.08418571203947067,-0.19862549006938934,-0.027394214645028114
1711523595105748700,0.220748779296875,0.0178810004144907,0.04319100081920624,0.09816499799489975,0.9940710067749023,0.08409960567951202,-0.19800178706645966,-0.027613239362835884
1711523595115394600,0.23039453125,0.017965000122785568,0.04316199943423271,0.09789600223302841,0.9940969944000244,0.08402689546346664,-0.1974678784608841,-0.027811113744974136
1711523595125040000,0.2400400390625,0.018045999109745026,0.043163001537323,0.09768500179052353,0.994117021560669,0.08401524275541306,-0.1970512419939041,-0.02799219824373722
1711523595134686200,0.249686279296875,0.018131999298930168,0.043202001601457596,0.0975240021944046,0.9941290020942688,0.08407913893461227,-0.19673621654510498,-0.0281717237085104
1711523595144332000,0.25933203125,0.018224000930786133,0.04325199872255325,0.0973849967122078,0.9941390156745911,0.08416403830051422,-0.1964663565158844,-0.028359485790133476
1711523595153977900,0.268977783203125,0.018293000757694244,0.04325399920344353,0.09721200168132782,0.9941549897193909,0.08415651321411133,-0.19612500071525574,-0.028512947261333466
1711523595163623400,0.27862353515625,0.018296999856829643,0.043175000697374344,0.09697899967432022,0.9941809773445129,0.0839981809258461,-0.1956552267074585,-0.028555555269122124
1711523595173269500,0.28826953125,0.018240999430418015,0.04307800158858299,0.09670700132846832,0.9942119717597961,0.08381564915180206,-0.19510148465633392,-0.028483111411333084
1711523595182915300,0.297915283203125,0.01820099912583828,0.042440999299287796,0.09612400084733963,0.9942970275878906,0.08253762871026993,-0.19390946626663208,-0.02857455052435398
1711523595192561200,0.30756103515625,0.038353998214006424,0.03626000136137009,0.0904259979724884,0.9945030212402344,0.06634880602359772,-0.18367022275924683,-0.07098113000392914
1711523595202206700,0.317206787109375,0.03849799931049347,0.03668000176548958,0.09040399640798569,0.994484007358551,0.06717407703399658,-0.18366573750972748,-0.0711958259344101
1711523595211852500,0.3268525390625,0.03853100165724754,0.03681400045752525,0.09036699682474136,0.9944810271263123,0.06744159013032913,-0.18360330164432526,-0.07123977690935135
1711523595221498400,0.336498291015625,0.038612000644207,0.03711099922657013,0.09056899696588516,0.9944490194320679,0.06801601499319077,-0.18403545022010803,-0.0713372454047203
1711523595231144200,0.346144287109375,0.03853699937462807,0.03710399940609932,0.09056200087070465,0.9944530129432678,0.06801627576351166,-0.18401582539081573,-0.07118700444698334
1711523595240790000,0.3557900390625,0.03865800052881241,0.03661999851465225,0.09056500345468521,0.9944649934768677,0.06701292842626572,-0.18399518728256226,-0.07152225822210312
1711523595250435600,0.365435546875,0.03879300132393837,0.036410000175237656,0.09037700295448303,0.9944850206375122,0.06657382100820541,-0.18361200392246246,-0.07184529304504395
1711523595260081400,0.375081298828125,0.03876199945807457,0.036132000386714935,0.0901150032877922,0.9945200085639954,0.06603246927261353,-0.18306420743465424,-0.07184842228889465
1711523595269727200,0.384727294921875,0.03870299831032753,0.0360650010406971,0.08991699665784836,0.9945430159568787,0.06591983139514923,-0.18265829980373383,-0.07175205647945404
1711523595279373000,0.394373046875,0.03863700106739998,0.036201998591423035,0.08976899832487106,0.9945539832115173,0.0662185475230217,-0.18236686289310455,-0.0716010332107544
1711523595289019000,0.404018798828125,0.03862300142645836,0.03617899864912033,0.08971399813890457,0.9945600032806396,0.06617787480354309,-0.182253897190094,-0.07157988101243973
1711523595298664700,0.413664794921875,0.03861900046467781,0.036357998847961426,0.08992599695920944,0.9945350289344788,0.06652829796075821,-0.18269190192222595,-0.07152713090181351
1711523595308310500,0.423310546875,0.038888998329639435,0.03634899854660034,0.0900069996714592,0.9945170283317566,0.06645502895116806,-0.1828717142343521,-0.07207129895687103
1711523595317956600,0.43295654296875,0.03894000127911568,0.03623500093817711,0.09036500006914139,0.9944869875907898,0.06619269400835037,-0.18358512222766876,-0.07217637449502945
1711523595327602200,0.442602294921875,0.038954999297857285,0.03627999871969223,0.09047199785709381,0.9944750070571899,0.0662744790315628,-0.18380403518676758,-0.07219258695840836
1711523595337248000,0.452248046875,0.03895200043916702,0.03618999943137169,0.0906670019030571,0.9944599866867065,0.06608070433139801,-0.18418844044208527,-0.07219269126653671
