time,seconds_elapsed,relativeAltitude,pressure
1711795429485805000,-0.51519482421875,0,1006.7733001708984
1711795430518813000,0.51781298828125,0.029064178466796875,1006.7697143554688
1711795431551828000,1.550827880859375,0.060771942138671875,1006.7660522460938
1711795432584836000,2.583836181640625,0.10305023193359375,1006.7608642578125
1711795433617867000,3.616866943359375,0.10305023193359375,1006.7608642578125
1711795433809891800,3.808891845703125,0.10569381713867188,1006.7606353759766
1711795434876227800,4.875227783203125,0.10305023193359375,1006.7610168457031
1711795435942524000,5.94152392578125,0.10305023193359375,1006.7610168457031
1711795437008841000,7.007841064453125,0.10305023193359375,1006.7610168457031
1711795438075156000,8.074156005859376,0.10569381713867188,1006.7606353759766
1711795439141485000,9.140485107421876,0.1109771728515625,1006.7599487304688
1711795440207789000,10.2067890625,0.12418746948242188,1006.7582702636719
1711795441274065000,11.27306494140625,0.14004135131835938,1006.756591796875
1711795442340368100,12.3393681640625,0.14796829223632812,1006.7555999755859
1711795443406624000,13.4056240234375,0.14796829223632812,1006.7555999755859
1711795444472906000,14.471906005859376,0.14532852172851562,1006.7559814453125
1711795445539242000,15.538241943359376,0.1426849365234375,1006.7561340332031
1711795446605551000,16.604551025390624,0.1426849365234375,1006.7563629150391
1711795447671861000,17.670861083984374,0.1426849365234375,1006.7563629150391
