time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1711795430071476200,0.070476318359375,-1.4197248083840706,0.06094317268107007,-0.649537972145513,0.01086260153895434,0.7565321204353023,-0.04522736842345355,0.15154410658708475
1711795430081452300,0.080452392578125,-1.4200190293800268,0.06135609087407894,-0.6495996476547736,0.013509553247509866,0.75652642069764,-0.043856437728312325,0.1503793991596787
1711795430091428400,0.090428466796875,-1.4203916645730414,0.061752271296491225,-0.649692019676575,0.01614151813385417,0.7564932072104904,-0.042484443706718764,0.14918674043252148
1711795430101404400,0.100404296875,-1.4207329736156007,0.062260299956536674,-0.6497635594164699,0.018870546953735228,0.7564643464112601,-0.041142963157111634,0.14820372806140478
1711795430111380200,0.110380126953125,-1.4210365004831087,0.06290789461271065,-0.6498105898905119,0.021542813567133404,0.7564339085128734,-0.03995697292639703,0.14763599518361287
1711795430121356300,0.120356201171875,-1.4213030347367237,0.06373687995367651,-0.6498296777987508,0.024168912579303616,0.7564003294984034,-0.03895581832701044,0.14758567824990756
1711795430131332400,0.130332275390625,-1.4215107972210133,0.06459449460488646,-0.6498252154926993,0.026539003435383547,0.7563727470018557,-0.03814507697991268,0.14782812688421185
1711795430141307400,0.140307373046875,-1.4216485726906738,0.06534265899597287,-0.649805776914801,0.028365392156332995,0.7563527015405259,-0.037594604236637304,0.14824496497220538
1711795430151283200,0.150283203125,-1.4217939390261782,0.06592595314790174,-0.6498055188022602,0.02962426255040694,0.7563181245616325,-0.03727604573820308,0.14871389617538708
1711795430161259500,0.160259521484375,-1.4221096992597315,0.0661878214791116,-0.6499002824923551,0.030094002673682393,0.756217169214071,-0.03720821520933148,0.14901891591501176
1711795430171235300,0.1702353515625,-1.4224240474589755,0.06600885267720627,-0.6500369666252829,0.029528812695861745,0.7561038833264178,-0.037441418543469156,0.14904694543520858
1711795430181211100,0.180211181640625,-1.4229439911551536,0.06555386785643738,-0.6502773128471184,0.028330148849562628,0.7559157390373157,-0.037863651808926584,0.14889975159489907
1711795430191187500,0.1901875,-1.4236683554078176,0.06496380804412222,-0.6506065296434445,0.026882200605532675,0.7556590889074816,-0.038343413759624086,0.14862045319047684
1711795430201162200,0.200162353515625,-1.4244975458640812,0.06434959585459055,-0.6509764238327672,0.02543074401266867,0.7553692053524929,-0.038809625272676174,0.14828655422720577
1711795430211138300,0.21013818359375,-1.4254512126879324,0.0638027307363714,-0.6513853113203932,0.02425805637473667,0.7550452206884481,-0.039156227640064815,0.14789807059290164
1711795430221114400,0.2201142578125,-1.4264959706139622,0.06335287991676716,-0.6518180370426444,0.023436344943572593,0.7546990205909,-0.03935956630157043,0.14746918848640295
1711795430231090400,0.23009033203125,-1.427560442470652,0.06296128140061497,-0.6522514620141678,0.022881922270163033,0.7543531558518717,-0.03943769184664797,0.14696513987530793
1711795430241066500,0.24006640625,-1.4286048629574444,0.06255633181095653,-0.6526779114214029,0.022335944524117222,0.7540147884923014,-0.03949734014778457,0.14641747255601395
1711795430251042300,0.250042236328125,-1.4295984297763533,0.062095340581127687,-0.6530902187059376,0.021617676390194056,0.7536893800729428,-0.039619296099462645,0.14586787942775767
1711795430261018400,0.260018310546875,-1.4305803927338545,0.06168310042240621,-0.6534943339301718,0.02086738363233146,0.7533631639374316,-0.03980394251638081,0.14547542903066896
1711795430270993200,0.2699931640625,-1.4314903984997938,0.06138810173563133,-0.6538616954118632,0.02023187554955378,0.7530573821695168,-0.040011104529477336,0.14529162039409577
1711795430280969500,0.279969482421875,-1.4322720183981161,0.0613401449327522,-0.6541588669955536,0.020149358693198106,0.7528005325299004,-0.040061506989372886,0.1452774550806168
1711795430290945300,0.2899453125,-1.4328902176543041,0.061562462148373555,-0.6543706336446158,0.02069353490445832,0.7526055733165516,-0.03992509846724794,0.14542820538164175
1711795430300921300,0.29992138671875,-1.4333583183220084,0.061952489958119535,-0.6545113118945632,0.02157684513605558,0.7524629547905395,-0.03970342135682354,0.1457217663710946
1711795430310897400,0.3098974609375,-1.4337206480918705,0.06237614540705229,-0.6546096379936903,0.022449977349473193,0.7523524675771007,-0.039512823150168255,0.14610792945933662
1711795430320873200,0.319873291015625,-1.4339930186163856,0.06271076912808174,-0.6546821862799732,0.023099845290997054,0.7522680283189037,-0.03938802166325888,0.14644679033294403
1711795430330849500,0.329849609375,-1.4341887251013354,0.06288085405722744,-0.6547407639644359,0.02338129965613853,0.7522043745051731,-0.039359745815374984,0.14666460685749247
1711795430340824300,0.33982421875,-1.434248251407491,0.06287322259000712,-0.6547637553804265,0.0233647217107487,0.7521845593915305,-0.03936695399992394,0.14666185396542264
1711795430350800400,0.34980029296875,-1.4341101234428213,0.062703742934087,-0.6547262280293051,0.02315381978167853,0.7522322321030465,-0.03935183560871202,0.1463871777292676
1711795430360776400,0.3597763671875,-1.4338493442112394,0.06245686392115314,-0.6546482305359825,0.022989264872542943,0.7523268191964129,-0.03923255385455989,0.1458596363492798
1711795430370752300,0.369752197265625,-1.4336013574813962,0.06219597538460849,-0.6545753269301043,0.022921850158066043,0.7524221044030672,-0.03903745023666632,0.14521094404338045
1711795430380728300,0.379728271484375,-1.4334752429598419,0.061994537570250266,-0.6545429409441297,0.02294987842430703,0.7524772809897775,-0.03883701796485786,0.14464379545127523
1711795430390704400,0.389704345703125,-1.4334968650755429,0.06190580935384267,-0.6545570248589427,0.02304836047566586,0.7524795428945006,-0.038695434528536396,0.1443229455342916
