time,seconds_elapsed,z,y,x
1711795430071476200,0.070476318359375,-9.69368529959917,-1.4804581913672388,0.10530278747081756
1711795430081452300,0.080452392578125,-9.695090490221977,-1.469166251371801,0.13098430468346922
1711795430091428400,0.090428466796875,-9.696457102400064,-1.457601193523407,0.1565291351054795
1711795430101404400,0.100404296875,-9.697421563518047,-1.4480674953721462,0.18301738385744393
1711795430111380200,0.110380126953125,-9.697718500638008,-1.442560714649409,0.2089484736506827
1711795430121356300,0.120356201171875,-9.697208797550202,-1.4420726388715206,0.23441664037359877
1711795430131332400,0.130332275390625,-9.696276485136151,-1.4444243165642021,0.2573899398071691
1711795430141307400,0.140307373046875,-9.695187520855665,-1.4484674544751643,0.2750815725107677
1711795430151283200,0.150283203125,-9.694153501632808,-1.4530154731683431,0.2872661870296113
1711795430161259500,0.160259521484375,-9.69357365591824,-1.4559735923215746,0.29180653387298805
1711795430171235300,0.1702353515625,-9.693696405515075,-1.4562455411307513,0.2863265680919401
1711795430181211100,0.180211181640625,-9.694247025135159,-1.4548179925456641,0.2747129583940841
1711795430191187500,0.1901875,-9.695040221339463,-1.4521093181088567,0.2606868076617829
1711795430201162200,0.200162353515625,-9.695892454254627,-1.4488707745790481,0.24662693732297047
1711795430211138300,0.21013818359375,-9.696737088385223,-1.445102800347656,0.2352701519303955
1711795430221114400,0.2201142578125,-9.69754606668055,-1.4409427580587566,0.2273166539089754
1711795430231090400,0.23009033203125,-9.698395376986264,-1.4360530863210559,0.22195666124578564
1711795430241066500,0.24006640625,-9.699299632349609,-1.4307400746047496,0.21667904963642357
1711795430251042300,0.250042236328125,-9.700237789982557,-1.4254077736660837,0.20972926703114061
1711795430261018400,0.260018310546875,-9.700950906687975,-1.4215999058157205,0.20246285622473806
1711795430270993200,0.2699931640625,-9.701338444700836,-1.4198163833998143,0.1963030549533665
1711795430280969500,0.279969482421875,-9.701374685057997,-1.419679020755738,0.19550293581793082
1711795430290945300,0.2899453125,-9.70105319801867,-1.4211417867846785,0.2007777344156988
1711795430300921300,0.29992138671875,-9.700454063081741,-1.4239901619531214,0.20933769216397777
1711795430310897400,0.3098974609375,-9.699717565500736,-1.42773680113554,0.21779502978799864
1711795430320873200,0.319873291015625,-9.699089788991213,-1.431024444504082,0.2240873348652385
1711795430330849500,0.329849609375,-9.698714525938033,-1.4331376372657716,0.22680987343061715
1711795430340824300,0.33982421875,-9.698722124722599,-1.4331108953893184,0.2266491847098805
